[RegionCode],[RegionName],[Endpoint]
cn-qingdao,North China 1 (Qingdao),http://oss-cn-qingdao.aliyuncs.com
cn-beijing,North China 2 (Beijing),http://oss-cn-beijing.aliyuncs.com
cn-zhangjiakou,North China 3 (Zhangjiakou),http://oss-cn-zhangjiakou.aliyuncs.com
cn-huhehaote,North China 5 (Hohhot),http://oss-cn-huhehaote.aliyuncs.com
cn-wulanchabu,North China 6 (Ulanqab),http://oss-cn-wulanchabu.aliyuncs.com
cn-hangzhou,East China 1 (Hangzhou),http://oss-cn-hangzhou.aliyuncs.com
cn-shanghai,East China 2 (Shanghai),http://oss-cn-shanghai.aliyuncs.com
cn-nanjing,East China 5 (Nanjing - Local Region),http://dt.cn-nanjing.maxcompute.aliyun.com
cn-shenzhen,South China 1 (Shenzhen),http://oss-cn-shenzhen.aliyuncs.com
cn-heyuan,South China 2 (Heyuan),http://oss-cn-heyuan.aliyuncs.com
cn-guangzhou,South China 3 (Guangzhou),http://oss-cn-guangzhou.aliyuncs.com
cn-fuzhou,East China 6 (Fuzhou - Local Region),http://dt.cn-fuzhou.maxcompute.aliyun.com
cn-wuhan-lr,Central China 1 (Wuhan - Local Region),http://dt.cn-wuhan-lr.maxcompute.aliyun.com
cn-chengdu,Southwest China 1 (Chengdu),http://oss-cn-chengdu.aliyuncs.com
cn-hongkong,Hong Kong,http://oss-cn-hongkong.aliyuncs.com
ap-northeast-1,Japan (Tokyo),http://oss-ap-northeast-1.aliyuncs.com
ap-northeast-2,South Korea (Seoul),http://oss-ap-northeast-2.aliyuncs.com
ap-southeast-1,Singapore,http://oss-ap-southeast-1.aliyuncs.com
ap-southeast-2,Australia (Sydney),http://dt.ap-southeast-2.maxcompute.aliyun.com
ap-southeast-3,Malaysia (Kuala Lumpur),http://oss-ap-southeast-3.aliyuncs.com
ap-southeast-5,Indonesia (Jakarta),http://oss-ap-southeast-5.aliyuncs.com
ap-southeast-6,Philippines (Manila),http://oss-ap-southeast-6.aliyuncs.com
ap-southeast-7,Thailand (Bangkok),http://oss-ap-southeast-7.aliyuncs.com
us-east-1,USA (Virginia),http://oss-us-east-1.aliyuncs.com
us-west-1,USA (Silicon Valley),http://oss-us-west-1.aliyuncs.com
eu-west-1,UK (London),http://oss-eu-west-1.aliyuncs.com
me-east-1,UAE (Dubai),http://oss-me-east-1.aliyuncs.com
me-central-1,Saudi Arabia (Riyadh),http://dt.me-central-1.maxcompute.aliyun.com
eu-central-1,Germany (Frankfurt),http://oss-eu-central-1.aliyuncs.com
ap-south-1,India (Mumbai),http://oss-ap-south-1.aliyuncs.com